pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,500.0000,21.0000,500,21,1.000000,0
1,500.0000,19.0000,500,19,1.000000,0
2,500.0000,22.0000,500,22,1.000000,0
3,500.0000,23.0000,500,23,1.000000,0
4,500.0000,15.0000,500,15,1.000000,0
5,500.0000,13.0000,500,13,1.000000,0
6,500.0000,16.0000,500,16,1.000000,0
7,500.0000,12.0000,500,12,1.000000,0
8,500.0000,83.0000,500,83,1.000000,0
9,500.0000,29.0000,500,29,1.000000,0
10,500.0000,14.0000,500,14,1.000000,0
11,500.0000,15.0000,500,15,1.000000,0
12,500.0000,17.0000,500,17,1.000000,0
13,500.0000,42.0000,500,42,1.000000,0
14,500.0000,19.0000,500,19,1.000000,0
15,500.0000,38.0000,500,38,1.000000,0
16,500.0000,27.0000,500,27,1.000000,0
17,500.0000,10.0000,500,10,1.000000,0
18,500.0000,27.0000,500,27,1.000000,0
19,500.0000,18.0000,500,18,1.000000,0
20,500.0000,11.0000,500,11,1.000000,0
21,500.0000,21.0000,500,21,1.000000,0
22,500.0000,19.0000,500,19,1.000000,0
23,500.0000,11.0000,500,11,1.000000,0
24,500.0000,32.0000,500,32,1.000000,0
25,500.0000,23.0000,500,23,1.000000,0
26,500.0000,12.0000,500,12,1.000000,0
27,500.0000,32.0000,500,32,1.000000,0
28,500.0000,13.0000,500,13,1.000000,0
29,500.0000,13.0000,500,13,1.000000,0
30,500.0000,14.0000,500,14,1.000000,0
31,500.0000,12.0000,500,12,1.000000,0
32,500.0000,30.0000,500,30,1.000000,0
33,500.0000,10.0000,500,10,1.000000,0
34,500.0000,72.0000,500,72,1.000000,0
35,500.0000,15.0000,500,15,1.000000,0
36,500.0000,55.0000,500,55,1.000000,0
37,500.0000,12.0000,500,12,1.000000,0
38,500.0000,46.0000,500,46,1.000000,0
39,500.0000,13.0000,500,13,1.000000,0
40,500.0000,15.0000,500,15,1.000000,0
41,500.0000,11.0000,500,11,1.000000,0
42,500.0000,38.0000,500,38,1.000000,0
43,500.0000,24.0000,500,24,1.000000,0
44,500.0000,13.0000,500,13,1.000000,0
45,500.0000,13.0000,500,13,1.000000,0
46,500.0000,10.0000,500,10,1.000000,0
47,500.0000,14.0000,500,14,1.000000,0
48,500.0000,46.0000,500,46,1.000000,0
49,500.0000,19.0000,500,19,1.000000,0
50,500.0000,30.0000,500,30,1.000000,0
51,500.0000,20.0000,500,20,1.000000,0
52,500.0000,20.0000,500,20,1.000000,0
53,500.0000,25.0000,500,25,1.000000,0
54,500.0000,14.0000,500,14,1.000000,0
55,500.0000,20.0000,500,20,1.000000,0
56,500.0000,20.0000,500,20,1.000000,0
57,500.0000,14.0000,500,14,1.000000,0
58,500.0000,16.0000,500,16,1.000000,0
59,500.0000,11.0000,500,11,1.000000,0
60,500.0000,31.0000,500,31,1.000000,0
61,500.0000,33.0000,500,33,1.000000,0
62,500.0000,15.0000,500,15,1.000000,0
63,500.0000,10.0000,500,10,1.000000,0
64,500.0000,23.0000,500,23,1.000000,0
65,500.0000,9.0000,500,9,1.000000,0
66,500.0000,24.0000,500,24,1.000000,0
67,500.0000,22.0000,500,22,1.000000,0
68,500.0000,15.0000,500,15,1.000000,0
69,500.0000,15.0000,500,15,1.000000,0
70,500.0000,24.0000,500,24,1.000000,0
71,500.0000,29.0000,500,29,1.000000,0
72,500.0000,23.0000,500,23,1.000000,0
73,500.0000,16.0000,500,16,1.000000,0
74,500.0000,25.0000,500,25,1.000000,0
75,500.0000,17.0000,500,17,1.000000,0
76,500.0000,14.0000,500,14,1.000000,0
77,500.0000,35.0000,500,35,1.000000,0
78,500.0000,32.0000,500,32,1.000000,0
79,500.0000,21.0000,500,21,1.000000,0
80,500.0000,25.0000,500,25,1.000000,0
81,500.0000,10.0000,500,10,1.000000,0
82,500.0000,11.0000,500,11,1.000000,0
83,500.0000,26.0000,500,26,1.000000,0
84,500.0000,18.0000,500,18,1.000000,0
85,500.0000,33.0000,500,33,1.000000,0
86,500.0000,15.0000,500,15,1.000000,0
87,500.0000,25.0000,500,25,1.000000,0
88,500.0000,10.0000,500,10,1.000000,0
89,500.0000,24.0000,500,24,1.000000,0
90,500.0000,16.0000,500,16,1.000000,0
91,500.0000,39.0000,500,39,1.000000,0
92,500.0000,21.0000,500,21,1.000000,0
93,500.0000,14.0000,500,14,1.000000,0
94,500.0000,22.0000,500,22,1.000000,0
95,500.0000,17.0000,500,17,1.000000,0
96,500.0000,16.0000,500,16,1.000000,0
97,500.0000,27.0000,500,27,1.000000,0
98,500.0000,37.0000,500,37,1.000000,0
99,500.0000,12.0000,500,12,1.000000,0
100,500.0000,23.0000,500,23,1.000000,0
101,500.0000,34.0000,500,34,1.000000,0
102,500.0000,11.0000,500,11,1.000000,0
103,500.0000,15.0000,500,15,1.000000,0
104,500.0000,48.0000,500,48,1.000000,0
105,500.0000,16.0000,500,16,1.000000,0
106,500.0000,13.0000,500,13,1.000000,0
107,500.0000,20.0000,500,20,1.000000,0
108,500.0000,12.0000,500,12,1.000000,0
109,500.0000,33.0000,500,33,1.000000,0
110,500.0000,17.0000,500,17,1.000000,0
111,500.0000,16.0000,500,16,1.000000,0
112,500.0000,18.0000,500,18,1.000000,0
113,500.0000,20.0000,500,20,1.000000,0
114,500.0000,17.0000,500,17,1.000000,0
115,500.0000,22.0000,500,22,1.000000,0
116,500.0000,24.0000,500,24,1.000000,0
117,500.0000,27.0000,500,27,1.000000,0
118,500.0000,39.0000,500,39,1.000000,0
119,500.0000,22.0000,500,22,1.000000,0
120,500.0000,13.0000,500,13,1.000000,0
121,500.0000,22.0000,500,22,1.000000,0
122,500.0000,11.0000,500,11,1.000000,0
123,500.0000,14.0000,500,14,1.000000,0
124,500.0000,21.0000,500,21,1.000000,0
125,500.0000,15.0000,500,15,1.000000,0
126,500.0000,20.0000,500,20,1.000000,0
127,500.0000,17.0000,500,17,1.000000,0
128,500.0000,19.0000,500,19,1.000000,0
129,500.0000,19.0000,500,19,1.000000,0
130,500.0000,14.0000,500,14,1.000000,0
131,500.0000,14.0000,500,14,1.000000,0
132,500.0000,25.0000,500,25,1.000000,0
133,500.0000,11.0000,500,11,1.000000,0
134,500.0000,24.0000,500,24,1.000000,0
135,500.0000,25.0000,500,25,1.000000,0
136,500.0000,16.0000,500,16,1.000000,0
137,500.0000,24.0000,500,24,1.000000,0
138,500.0000,22.0000,500,22,1.000000,0
