pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,91.5587,91.0130,157,622,0.633132,0
1,93.7367,-1.2546,98,999,1.000000,0
2,93.8091,-1.2749,97,999,1.000000,0
3,91.4840,92.6667,158,532,0.234571,1
4,91.5089,-1.1345,158,999,1.000000,0
5,91.3652,-1.5175,157,999,1.000000,0
6,94.4455,92.5495,87,610,0.869448,0
7,94.5721,86.9219,86,808,0.999524,0
8,91.3671,-1.2659,157,999,1.000000,0
9,91.5018,90.3419,157,561,0.761322,0
10,91.5300,-1.0966,157,999,1.000000,0
11,94.2606,86.9531,90,579,0.999330,0
12,93.4049,92.2775,104,686,0.755360,0
13,91.4587,92.6021,157,454,0.241694,1
14,94.5720,92.1802,86,763,0.916204,0
15,94.5419,-1.2612,86,999,1.000000,0
16,91.5366,92.7126,157,531,0.235773,1
17,93.2498,89.0020,107,636,0.985907,0
18,94.4461,-1.2347,87,999,1.000000,0
19,94.1353,91.1073,92,621,0.953823,0
20,94.1869,-5.5196,91,999,1.000000,0
21,94.5478,91.7426,86,881,0.942956,0
22,94.4483,-5.7456,87,999,1.000000,0
23,94.3838,92.2399,88,610,0.895094,0
24,93.2408,-8.7345,107,999,1.000000,0
25,90.6534,90.0164,159,781,0.654082,0
26,93.9952,92.5899,94,534,0.803033,0
27,91.5475,92.4158,157,455,0.295607,0
28,91.4198,91.8497,157,994,0.394134,1
29,94.3744,91.8182,88,766,0.927988,0
30,94.5977,92.2130,86,917,0.915654,0
31,94.3748,88.4126,88,565,0.997432,0
32,94.1336,92.5693,92,454,0.826970,0
33,94.3924,92.2319,88,878,0.896648,0
34,94.5624,91.2206,86,772,0.965836,0
35,91.4373,86.8429,157,885,0.989992,0
36,94.5616,92.4357,86,532,0.893401,0
37,94.2621,91.2202,90,772,0.954429,0
38,94.5329,92.1501,86,687,0.915504,0
39,93.3876,-5.1679,104,999,1.000000,0
40,93.4054,92.2689,104,878,0.757036,0
41,94.5765,92.4531,86,536,0.893161,0
42,94.5776,91.8163,86,690,0.940544,0
43,90.8934,-1.2710,158,999,1.000000,0
44,94.3191,-1.1206,89,999,1.000000,0
45,94.4453,90.7917,87,548,0.974756,0
46,94.1229,92.6465,92,457,0.814028,0
47,93.1734,92.1137,108,806,0.742648,0
48,91.5932,92.4270,157,455,0.302851,1
49,90.9581,90.4626,158,894,0.621406,0
50,94.5690,-4.9680,86,999,1.000000,0
51,94.6144,-8.7247,86,999,1.000000,0
52,94.5716,-8.8175,86,999,1.000000,0
