pair_id,R_tau1,R_tau2,len_tau1,len_tau2,p_tau1_preferred,preferred
0,-136.0984,-527.3553,200,200,1.000000,0
1,-126.5249,-880.2974,200,200,1.000000,0
2,-1.6247,-609.0922,200,200,1.000000,0
3,-124.3497,-517.5400,200,200,1.000000,0
4,-125.2392,-822.2081,200,200,1.000000,0
5,-119.5461,-777.0996,200,200,1.000000,0
6,-130.6706,-673.6785,200,200,1.000000,0
7,-1035.6725,-632.5568,200,200,0.000000,1
8,-129.6850,-803.7678,200,200,1.000000,0
9,-127.8927,-776.3015,200,200,1.000000,0
10,-126.0881,-518.7781,200,200,1.000000,0
11,-269.9592,-1019.7652,200,200,1.000000,0
12,-913.1513,-732.2182,200,200,0.000000,1
13,-129.5970,-950.6989,200,200,1.000000,0
14,-3.4696,-667.3994,200,200,1.000000,0
15,-123.0355,-639.0495,200,200,1.000000,0
16,-273.1219,-640.2607,200,200,1.000000,0
17,-123.3514,-635.1822,200,200,1.000000,0
18,-253.1670,-520.4177,200,200,1.000000,0
19,-362.1004,-637.5043,200,200,1.000000,0
20,-263.7138,-645.6413,200,200,1.000000,0
21,-973.3480,-557.2620,200,200,0.000000,1
22,-1048.4472,-387.9550,200,200,0.000000,1
23,-396.5540,-923.1197,200,200,1.000000,0
24,-123.6960,-841.2248,200,200,1.000000,0
25,-1025.5663,-391.3074,200,200,0.000000,1
26,-1060.1063,-1024.1131,200,200,0.000000,1
27,-128.7890,-1010.2969,200,200,1.000000,0
28,-249.3949,-664.0106,200,200,1.000000,0
29,-267.3046,-516.9286,200,200,1.000000,0
30,-248.3133,-795.9839,200,200,1.000000,0
31,-129.7889,-794.7261,200,200,1.000000,0
32,-1.4589,-531.1831,200,200,1.000000,0
33,-256.5730,-795.0188,200,200,1.000000,0
34,-253.4290,-806.5611,200,200,1.000000,0
35,-253.7551,-384.5860,200,200,1.000000,0
36,-129.6501,-816.5464,200,200,1.000000,0
37,-132.4963,-834.5521,200,200,1.000000,0
38,-256.9130,-773.8169,200,200,1.000000,0
39,-1.6516,-1028.1262,200,200,1.000000,0
40,-928.9065,-644.1678,200,200,0.000000,1
41,-271.5566,-817.4284,200,200,1.000000,0
42,-133.7288,-779.6357,200,200,1.000000,0
43,-247.9468,-749.2565,200,200,1.000000,0
44,-127.5175,-831.5045,200,200,1.000000,0
45,-130.2654,-1167.0436,200,200,1.000000,0
46,-1054.7531,-803.8859,200,200,0.000000,1
47,-375.6609,-645.3024,200,200,1.000000,0
48,-273.6550,-809.0640,200,200,1.000000,0
49,-130.1219,-515.5323,200,200,1.000000,0
50,-374.7773,-517.0723,200,200,1.000000,0
51,-122.1775,-518.4535,200,200,1.000000,0
52,-134.3139,-646.3548,200,200,1.000000,0
53,-947.2461,-629.5521,200,200,0.000000,1
54,-128.2412,-814.2399,200,200,1.000000,0
55,-1050.1064,-511.8783,200,200,0.000000,1
56,-133.1296,-641.3998,200,200,1.000000,0
57,-133.0154,-804.6264,200,200,1.000000,0
58,-272.6874,-778.6644,200,200,1.000000,0
59,-1.4334,-642.2389,200,200,1.000000,0
60,-366.5608,-797.4989,200,200,1.000000,0
61,-1015.3433,-531.6027,200,200,0.000000,1
62,-318.3501,-649.3359,200,200,1.000000,0
63,-1046.3362,-519.0110,200,200,0.000000,1
64,-1029.9865,-727.6621,200,200,0.000000,1
65,-2.0641,-933.2744,200,200,1.000000,0
66,-123.0423,-522.6029,200,200,1.000000,0
67,-4.3498,-514.8865,200,200,1.000000,0
68,-264.4990,-784.2093,200,200,1.000000,0
69,-122.2317,-737.1554,200,200,1.000000,0
70,-2.2819,-648.7641,200,200,1.000000,0
71,-273.9686,-793.8264,200,200,1.000000,0
72,-272.1617,-828.5997,200,200,1.000000,0
73,-126.4617,-639.3176,200,200,1.000000,0
74,-139.5277,-639.8226,200,200,1.000000,0
75,-279.8197,-854.4669,200,200,1.000000,0
76,-270.1859,-508.9125,200,200,1.000000,0
77,-128.9866,-936.6979,200,200,1.000000,0
78,-128.8890,-774.4962,200,200,1.000000,0
79,-368.4196,-523.0430,200,200,1.000000,0
80,-242.2540,-657.7237,200,200,1.000000,0
81,-130.6318,-644.3898,200,200,1.000000,0
82,-275.4275,-512.2791,200,200,1.000000,0
83,-363.9981,-476.6053,200,200,1.000000,0
84,-296.0849,-511.6846,200,200,1.000000,0
85,-908.8874,-1062.6188,200,200,1.000000,0
86,-924.5873,-513.8595,200,200,0.000000,1
87,-376.9354,-517.0165,200,200,1.000000,0
88,-2.1069,-644.9603,200,200,1.000000,0
89,-1045.7203,-395.3970,200,200,0.000000,1
90,-1049.5012,-641.6556,200,200,0.000000,1
91,-2.9200,-621.1620,200,200,1.000000,0
92,-136.9049,-806.6369,200,200,1.000000,0
93,-257.0245,-660.1357,200,200,1.000000,0
94,-276.5186,-643.9668,200,200,1.000000,0
95,-128.8193,-911.3914,200,200,1.000000,0
96,-255.7909,-801.9940,200,200,1.000000,0
97,-125.7972,-516.4811,200,200,1.000000,0
98,-126.6500,-746.0776,200,200,1.000000,0
99,-295.3202,-642.0890,200,200,1.000000,0
100,-901.6933,-508.1378,200,200,0.000000,1
101,-1039.1047,-576.9894,200,200,0.000000,1
102,-125.2802,-656.5750,200,200,1.000000,0
103,-127.5045,-832.9681,200,200,1.000000,0
104,-125.2308,-793.6310,200,200,1.000000,0
105,-127.9262,-642.6367,200,200,1.000000,0
106,-128.9346,-695.3593,200,200,1.000000,0
107,-1037.3465,-934.5242,200,200,0.000000,1
108,-1047.7176,-909.1269,200,200,0.000000,1
109,-248.4862,-654.3775,200,200,1.000000,0
110,-125.8909,-516.8797,200,200,1.000000,0
111,-955.8093,-664.7258,200,200,0.000000,1
112,-129.7166,-513.4447,200,200,1.000000,0
113,-127.7293,-649.4035,200,200,1.000000,0
114,-260.4501,-840.0244,200,200,1.000000,0
115,-128.2459,-690.9395,200,200,1.000000,0
116,-2.2105,-513.6388,200,200,1.000000,0
117,-307.3468,-974.9454,200,200,1.000000,0
118,-894.4876,-772.2006,200,200,0.000000,1
119,-1036.1167,-779.1756,200,200,0.000000,1
120,-499.2234,-692.0318,200,200,1.000000,0
121,-124.9690,-987.4977,200,200,1.000000,0
122,-128.2343,-556.1067,200,200,1.000000,0
123,-129.0977,-516.2598,200,200,1.000000,0
124,-972.3679,-693.1905,200,200,0.000000,1
125,-350.0957,-628.7559,200,200,1.000000,0
126,-1033.2112,-648.9396,200,200,0.000000,1
127,-125.5164,-727.1627,200,200,1.000000,0
128,-127.5375,-642.7254,200,200,1.000000,0
129,-129.6385,-629.9045,200,200,1.000000,0
130,-1027.7983,-829.5145,200,200,0.000000,1
131,-1.4423,-642.3221,200,200,1.000000,0
132,-389.1356,-389.0583,200,200,0.480691,1
133,-133.6337,-653.6249,200,200,1.000000,0
134,-130.5905,-642.5492,200,200,1.000000,0
135,-248.5214,-827.5425,200,200,1.000000,0
136,-1029.2787,-491.9740,200,200,0.000000,1
137,-136.6579,-389.9000,200,200,1.000000,0
138,-126.3544,-646.7760,200,200,1.000000,0
139,-128.0032,-484.8729,200,200,1.000000,0
140,-376.6026,-652.6413,200,200,1.000000,0
141,-280.0792,-805.0282,200,200,1.000000,0
142,-129.0930,-637.6268,200,200,1.000000,0
143,-249.2624,-515.7590,200,200,1.000000,0
144,-131.7099,-775.0427,200,200,1.000000,0
145,-125.8229,-641.3550,200,200,1.000000,0
146,-124.6255,-873.8712,200,200,1.000000,0
147,-133.6742,-650.4423,200,200,1.000000,0
148,-125.8846,-748.1812,200,200,1.000000,0
149,-249.7356,-799.1671,200,200,1.000000,0
150,-919.8425,-795.9556,200,200,0.000000,1
151,-250.7539,-520.9321,200,200,1.000000,0
152,-127.9707,-519.6140,200,200,1.000000,0
153,-126.1254,-639.8561,200,200,1.000000,0
154,-125.1545,-756.5883,200,200,1.000000,0
155,-364.6582,-826.9007,200,200,1.000000,0
156,-287.4589,-664.6962,200,200,1.000000,0
157,-131.4667,-666.2917,200,200,1.000000,0
158,-1033.4127,-645.3795,200,200,0.000000,1
159,-255.9490,-507.0531,200,200,1.000000,0
160,-1021.5982,-646.0338,200,200,0.000000,1
161,-326.9687,-776.4138,200,200,1.000000,0
162,-132.7791,-795.9920,200,200,1.000000,0
163,-1.7640,-514.4463,200,200,1.000000,0
