env,method,K,mean,std
CartPole-v1,dpo,50,87.564,3.058925301474361
CartPole-v1,dpo,200,89.88,3.2174026791808306
CartPole-v1,dpo,1000,110.832,3.6496049101238346
CartPole-v1,expert,-,500.0,0.0
CartPole-v1,mid,-,336.62,200.3039580237994
Pendulum-v1,dpo,50,-869.3476179311358,30.86483215153793
Pendulum-v1,dpo,200,-1069.7765376777556,49.945277195127474
Pendulum-v1,dpo,1000,-1123.1525580247405,11.570976718443708
Pendulum-v1,expert,-,-275.35971398736643,294.5748125197395
Pendulum-v1,mid,-,-668.0186139966412,126.03229381220603
